시군구,도시지역 면적,주거지역_소계,주거지역_비율,주거지역_전용주거_소계,주거지역_1종_전용주거,주거지역_2종_전용주거,주거지역_일반주거지역_소계,주거지역_1종일반주거,주거지역_2종일반주거,주거지역_3종일반주거,주거지역_준주거지역,상업지역_소계,상업지역_비율,상업지역_중심상업,상업지역_일반상업,상업지역_근린상업,상업지역_유통상업,공업지역_소계,공업지역_비율,공업지역_전용공업,공업지역_일반공업,공업지역_준공업,녹지지역_소계,녹지지역_비율,녹지지역_보전녹지,녹지지역_자연녹지,녹지지역_생산녹지
종로구,23972507,9830838,41.01,1589410,1589410,0,8042329,4376462,2903253,762614,199099,2937285,12.25,0,2937285,0,0,0,0,0,0,0,11204384,46.74,0,11204384,0
중구,9969740,6005614,60.24,0,0,0,5733172,2767570,1849665,1115937,272442,3938992,39.51,321406,3617586,0,0,0,0,0,0,0,25134,0.25,0,25134,0
용산구,21870000,11410596,52.17,268470,268470,0,10604688,3822316,4203044,2579328,537438,1570959,7.18,0,1570959,0,0,0,0,0,0,0,8888445,40.64,72300,8816145,0
성동구,16804270,9947485,59.2,0,0,0,9683113,2387584,4328480,2967049,264372,473145,2.82,0,397688,3052,72405,2051234,12.21,0,0,2051234,4332406,25.78,0,4332406,0
광진구,17075115,11593626,67.9,140987,140987,0,10472166,2239038,5704289,2528839,980473,206616,1.21,0,206616,0,0,0,0,0,0,0,5274873,30.89,0,5274873,0
동대문구,14251806,13038920,91.49,0,0,0,12463329,2702669,5766875,3993785,575591,829805,5.82,0,747096,62447,20262,0,0,0,0,0,383081,2.69,0,383081,0
중랑구,18531526,10821733,58.4,0,0,0,9963784,1043162,5696036,3224586,857949,357606,1.93,0,255256,102350,0,0,0,0,0,0,7352187,39.67,0,7352187,0
성북구,24621422,17787802,72.25,974866,974866,0,16249130,5142914,6921730,4184486,563806,400758,1.63,0,336362,64396,0,0,0,0,0,0,6432862,26.13,0,6432862,0
강북구,23636019,10898942,46.11,0,0,0,10466117,2840961,5276757,2348399,432825,272237,1.15,0,272237,0,0,0,0,0,0,0,12464840,52.74,0,12464840,0
도봉구,20839966,8714080,41.81,0,0,0,8272038,1997401,3586404,2688233,442042,267953,1.29,0,248798,19155,0,1473803,7.07,0,0,1473803,10384130,49.83,0,10384130,0
노원구,35543309,13916855,39.15,92455,13361,79094,13453861,1355582,4630358,7467921,370539,600683,1.69,0,592859,7824,0,0,0,0,0,0,21025771,59.16,0,21025771,0
은평구,29788522,15376440,51.62,796387,123485,672902,13572775,3065944,8412000,2094831,1007278,510002,1.71,0,410949,99053,0,0,0,0,0,0,13902080,46.67,0,13902080,0
서대문구,17685845,15439244,87.3,354625,354625,0,14739162,6589053,5258170,2891939,345457,283546,1.6,0,274391,9155,0,0,0,0,0,0,1963055,11.1,0,1963055,0
마포구,23883966,13383946,56.04,0,0,0,12584393,1002412,7812153,3769828,799553,940109,3.94,37262,757216,89069,56562,0,0,0,0,0,9559911,40.03,0,9559911,0
양천구,17469613,12536636,71.76,0,0,0,12201316,1336705,5917025,4947586,335320,796830,4.56,0,733026,63804,0,92872,0.53,0,0,92872,4043275,23.14,0,4043275,0
강서구,41463273,14718308,35.5,157970,157970,0,13729020,2425645,6036829,5266546,831318,1324125,3.19,0,993079,82791,248255,2920235,7.04,0,0,2920235,22500605,54.27,0,22129265,371340
구로구,20136328,10269448,51,0,0,0,9970766,1276259,5954129,2740378,298682,513589,2.55,0,513589,0,0,4195729,20.84,0,0,4195729,5157562,25.61,0,5156705,857
금천구,13012685,5845488,44.92,0,0,0,5571845,1407087,3171823,992935,273643,149622,1.15,0,102906,46716,0,4121945,31.68,0,0,4121945,2895630,22.25,0,2895630,0
영등포구,24354830,8009608,32.89,0,0,0,7061652,526257,4674872,1860523,947956,2611492,10.72,0,2562186,49306,0,5024926,20.63,0,0,5024926,8708804,35.76,0,8708804,0
동작구,16387883,13783892,84.11,0,0,0,13453402,3984927,5779389,3689086,330490,353662,2.16,0,275338,32026,46298,0,0,0,0,0,2250329,13.73,0,2250329,0
관악구,29563482,15322132,51.83,0,0,0,14628554,5308646,6248906,3071002,693578,395303,1.34,0,393524,1779,0,0,0,0,0,0,13846047,46.83,0,13846047,0
서초구,46899888,19009142,40.53,811839,719470,92369,17821300,3394881,6062530,8363889,376003,1329783,2.84,0,1322182,7601,0,0,0,0,0,0,26560963,56.63,0,26560963,0
강남구,39497452,24189066,61.24,614211,614211,0,23277223,3483398,8721272,11072553,297632,1677377,4.25,0,1677377,0,0,0,0,0,0,0,13631009,34.51,0,13367921,263088
송파구,33857302,21421630,63.27,72171,72171,0,20515720,2350162,8286188,9879370,833739,2363811,6.98,0,1259418,9067,1095326,0,0,0,0,0,10071861,29.75,0,9649524,422337
강동구,24556203,12950469,52.74,46719,46719,0,12359294,794333,7684994,3879967,544456,695660,2.83,0,601026,94634,0,78136,0.32,0,0,78136,10831938,44.11,0,10831938,0
